順位,キャラ名,得票数,一推し数,コメント数
1,藤猪しずく,15,3,8
2,八朔つゆり,10,3,4
3,夢路まりあ,10,2,3
4,天宮るり,9,3,5
5,八雲ちづる,9,0,5
6,御影かすみ,7,2,4
7,三波なつみ,7,1,2
8,四方みつる,6,2,3
9,月永るか,6,2,2
10,北川ゆき,6,1,4
11,小松ぼたん,6,1,2
12,峰山しおん,6,0,5
13,星海こよい,6,0,3
14,氷野くるみ,5,2,3
14,長居ゆう,5,2,3
16,三善かなえ,5,2,1
17,木之下ゆゆ,5,1,3
17,時国そら,5,1,3
19,榊むつみ,5,1,2
20,曽根セイラ,5,1,1
21,悠木ともこ,5,1,0
22,鶴海ひまり,5,0,5
23,堀田さあや,5,0,1
24,丸子みさき,4,1,2
24,笹芽ひよの,4,1,2
24,瀬川かえで,4,1,2
24,水嶌うしお,4,1,2
24,深鳥ふみ,4,1,2
29,黒森すず,4,1,1
30,小鳩あずさ,4,0,3
31,遠見ちか,4,0,1
32,藍乃あいか,3,1,1
32,鶯木こはる,3,1,1
32,神樹はじめ,3,1,1
35,双葉みづき,3,1,0
36,神無月ほとり,3,0,3
37,冴木もも,3,0,2
37,湖南やこ,3,0,2
39,夏野ゆり,3,0,1
39,伊藤さくら,3,0,1
41,クー・カロア,2,1,0
41,山條ぎん,2,1,0
41,岩戸サン,2,1,0
44,早川きこ,2,0,2
45,熊沢ひめの,2,0,1
46,小野ちよ,2,0,0
46,日滝ましろ,2,0,0
48,高原ちあき,1,0,1
48,長町やえ,1,0,1
48,羽森つばさ,1,0,1
48,猫塚みけ,1,0,1
48,雉子すみれ,1,0,1
48,春風なな,1,0,1
48,龍泉寺レンレン,1,0,1
48,梅園かな,1,0,1
48,砂賀みどり,1,0,1
48,夜霧はやて,1,0,1
48,八壁ひかる,1,0,1
48,花丘まり,1,0,1
48,久坂あやめ,1,0,1
48,棗ひびき,1,0,1
62,桃智あすか,1,0,0
62,柊るな,1,0,0
62,双葉みなづき,1,0,0
65,神樹いちか,0,0,0
65,花音ことり,0,0,0
65,大虎いさみ,0,0,0
65,鯱いかり,0,0,0
65,安条まい,0,0,0
65,桐島かいり,0,0,0
65,円成寺れいか,0,0,0
